INDX_NR,SPECIES_ID,SPECIES
949117,UNKBS,Unknown bird - small
895468,UNKBS,Unknown bird - small
895572,YI009,Cliff swallow
895456,UNKB,Unknown bird
894774,ZT001,Eastern meadowlark
894189,UNKBL,Unknown bird - large
883865,ZX203,Indigo bunting
826800,2A,Turtles
826978,UNKB,Unknown bird
989459,O2205,Mourning dove
989188,Y9001,Eastern wood-pewee
826899,ZT001,Eastern meadowlark
989399,O2205,Mourning dove
826680,1C2,Microbats
826634,UNKB,Unknown bird
826646,UNKBS,Unknown bird - small
825643,UNKBS,Unknown bird - small
826728,UNKBS,Unknown bird - small
826199,O2205,Mourning dove
825310,UNKB,Unknown bird
826725,2A,Turtles
825861,UNKBS,Unknown bird - small
946199,ZD102,Cedar waxwing
826115,UNKBS,Unknown bird - small
989245,ZD102,Cedar waxwing
989246,YI009,Cliff swallow
991632,1C2,Microbats
826954,1C2,Microbats
826519,1A1,Virginia opossum
989218,Y9,Tyrant (New World) flycatchers
825736,UNKBM,Unknown bird - medium
826261,UNKBS,Unknown bird - small
989214,Z5301,Gray catbird
989801,UNKB,Unknown bird
989800,ZD102,Cedar waxwing
946200,ZT201,Baltimore oriole
825010,UNKBL,Unknown bird - large
946202,UNKBS,Unknown bird - small
989787,Z6007,American robin
991599,ZT101,Red-winged blackbird
825358,UNKB,Unknown bird
994819,YL001,European starling
825483,YI,Swallows
824840,Z4009,Sedge wren
824856,UNKBS,Unknown bird - small
824963,UNKBS,Unknown bird - small
825413,ZX305,White-throated sparrow
825209,1C2,Microbats
825412,Z9002,Ruby-crowned kinglet
824463,ZX3,Sparrows
824709,K1002,Turkey vulture
824669,YI009,Cliff swallow
824682,YI009,Cliff swallow
989789,ZT104,Brown-headed cowbird
825098,YI009,Cliff swallow
825435,YI009,Cliff swallow
825286,YI009,Cliff swallow
825379,YI009,Cliff swallow
946154,YI009,Cliff swallow
825423,1C2,Microbats
825033,1C2,Microbats
1064749,K3302,Red-tailed hawk
825032,UNKBS,Unknown bird - small
995389,UNKB,Unknown bird
824817,T1002,Chimney swift
824502,J2204,Canada goose
824505,UNKBS,Unknown bird - small
824490,ZX3,Sparrows
824514,UNKB,Unknown bird
824513,ZS023,Palm warbler
1063696,K1002,Turkey vulture
824416,UNKBL,Unknown bird - large
824853,Z9002,Ruby-crowned kinglet
824738,K5114,American kestrel
1021586,L6001,Wild turkey
825462,N6039,Wilson's snipe
991531,UNKBS,Unknown bird - small
824535,UNKBS,Unknown bird - small
824427,UNKBS,Unknown bird - small
824956,1C2,Microbats
824789,UNKBM,Unknown bird - medium
824703,Z6007,American robin
1063691,NE115,Bonaparte's gull
824341,UNKB,Unknown bird
824875,YI001,Purple martin
824135,O2205,Mourning dove
824845,YI001,Purple martin
824291,UNKBS,Unknown bird - small
823973,UNKB,Unknown bird
825269,ZT101,Red-winged blackbird
989722,UNKB,Unknown bird
823752,ZX303,Savannah sparrow
823566,1C2201,Brazilian free-tailed bat
823608,UNKBS,Unknown bird - small
823760,O2205,Mourning dove
823596,UNKBS,Unknown bird - small
823485,Z6007,American robin
823384,1F11,Coyote
822943,ZT104,Brown-headed cowbird
823139,ZX3,Sparrows
823757,J2131,Northern shoveler
823114,UNKBS,Unknown bird - small
1021553,N5111,Killdeer
823070,UNKBS,Unknown bird - small
822936,N6011,American woodcock
823068,N5111,Killdeer
822768,UNKBS,Unknown bird - small
823166,O2205,Mourning dove
823065,Z5201,Northern mockingbird
823064,Z6007,American robin
818141,N5111,Killdeer
818219,UNKB,Unknown bird
818257,UNKB,Unknown bird
822684,UNKB,Unknown bird
818284,O2205,Mourning dove
818294,O2205,Mourning dove
818568,UNKB,Unknown bird
818303,Z6007,American robin
817712,ZT001,Eastern meadowlark
818290,ZX303,Savannah sparrow
817648,ZX004,Dark-eyed junco
819878,ZT101,Red-winged blackbird
817838,UNKB,Unknown bird
820081,UNKBL,Unknown bird - large
817672,ZD102,Cedar waxwing
817586,UNKBL,Unknown bird - large
817590,O2205,Mourning dove
819881,UNKBS,Unknown bird - small
817472,ZT001,Eastern meadowlark
818871,UNKB,Unknown bird
819899,YI005,Barn swallow
815586,Z6007,American robin
819892,ZT001,Eastern meadowlark
815583,UNKBM,Unknown bird - medium
821954,UNKBS,Unknown bird - small
819898,UNKB,Unknown bird
819897,UNKB,Unknown bird
815500,UNKB,Unknown bird
815499,ZD102,Cedar waxwing
815479,ZX017,American goldfinch
815275,UNKB,Unknown bird
823260,NE1,Gulls
815477,Z6007,American robin
815149,UNKB,Unknown bird
815040,K5114,American kestrel
814870,ZS009,Yellow-rumped warbler
814871,Z6007,American robin
1064887,Z6007,American robin
974382,UNKBS,Unknown bird - small
1065427,O2205,Mourning dove
815078,Q2101,Yellow-billed cuckoo
1063004,K3304,Red-shouldered hawk
815625,ZX017,American goldfinch
815272,ZS009,Yellow-rumped warbler
1065808,ZX315,Song sparrow
820349,UNKB,Unknown bird
817425,O2205,Mourning dove
817315,1C2101,Eastern red bat
817396,Z6016,Gray-cheeked thrush
817121,UNKBS,Unknown bird - small
816516,UNKBS,Unknown bird - small
821814,UNKB,Unknown bird
816862,UNKBS,Unknown bird - small
817215,UNKBL,Unknown bird - large
816086,UNKBM,Unknown bird - medium
817341,ZT001,Eastern meadowlark
816979,UNKBS,Unknown bird - small
817412,Z4007,Winter wren
993356,Z9002,Ruby-crowned kinglet
816661,ZT201,Baltimore oriole
819895,ZX303,Savannah sparrow
817227,1F31,Raccoon
1080070,O2205,Mourning dove
816492,K33,Hawks
821959,UNKB,Unknown bird
819880,UNKBS,Unknown bird - small
817071,ZX313,Chipping sparrow
819904,Z6016,Gray-cheeked thrush
819906,ZX005,Rose-breasted grosbeak
816443,UNKBS,Unknown bird - small
816377,UNKBS,Unknown bird - small
817372,1F11,Coyote
816608,T1002,Chimney swift
816155,ZS030,Black-throated green warbler
816156,O2205,Mourning dove
815870,UNKBS,Unknown bird - small
819631,UNKB,Unknown bird
816238,UNKB,Unknown bird
815884,UNKBS,Unknown bird - small
816204,UNKBS,Unknown bird - small
816203,UNKBM,Unknown bird - medium
819903,UNKBS,Unknown bird - small
816260,UNKBM,Unknown bird - medium
816714,Z6018,Wood thrush
815782,ZL005,Red-eyed vireo
819907,ZS012,American redstart
819905,ZX005,Rose-breasted grosbeak
819634,UNKB,Unknown bird
819909,ZS035,Bay-breasted warbler
816710,ZS006,Ovenbird
819632,UNKBM,Unknown bird - medium
817075,T1002,Chimney swift
818302,NE1,Gulls
821950,O2111,Rock pigeon
817077,T1002,Chimney swift
819875,T1002,Chimney swift
1065477,Z5301,Gray catbird
816727,Z6004,Swainson's thrush
816076,1C2101,Eastern red bat
815923,UNKBS,Unknown bird - small
815493,UNKBM,Unknown bird - medium
815879,UNKBS,Unknown bird - small
821960,UNKBM,Unknown bird - medium
816729,1C2107,Seminole bat
815797,NE1,Gulls
816715,T1002,Chimney swift
813232,UNKB,Unknown bird
813180,1C2,Microbats
813277,ZS014,Yellow warbler
813276,ZL005,Red-eyed vireo
813224,UNKBS,Unknown bird - small
814697,UNKBS,Unknown bird - small
814698,UNKB,Unknown bird
814702,1C2201,Brazilian free-tailed bat
814703,T1002,Chimney swift
813739,UNKB,Unknown bird
819633,UNKB,Unknown bird
813271,1C2102,Hoary bat
814524,Z6004,Swainson's thrush
821940,UNKBS,Unknown bird - small
814481,Z6004,Swainson's thrush
821811,UNKBS,Unknown bird - small
814396,ZX310,Grasshopper sparrow
814636,O2205,Mourning dove
814237,Z8007,Blue-gray gnatcatcher
814003,ZS034,Blackburnian warbler
814393,Q21,Cuckoos
821962,UNKBS,Unknown bird - small
821810,UNKBS,Unknown bird - small
817884,UNKB,Unknown bird
813896,1C2,Microbats
1065402,NF101,Black skimmer
814610,ZL005,Red-eyed vireo
819910,UNKB,Unknown bird
814436,T3001,Ruby-throated hummingbird
814780,Z6022,Veery
814437,O2205,Mourning dove
813973,UNKB,Unknown bird
822275,N5111,Killdeer
814602,UNKB,Unknown bird
813826,UNKB,Unknown bird
814416,T1002,Chimney swift
813728,T1002,Chimney swift
